cv_fold0,cv_fold1,cv_fold2,cv_fold3,cv_fold4,cv_fold5,cv_fold6,cv_fold7,cv_fold8,cv_fold9
NEFL,NEFL,NEFL,NEFL,GFAP,NEFL,NEFL,NEFL,GFAP,GFAP
GFAP,GFAP,GFAP,GFAP,NEFL,GFAP,GFAP,GFAP,NEFL,NEFL
GDF15,GDF15,GDF15,GDF15,GDF15,GDF15,GDF15,GDF15,GDF15,GDF15
BCAN,BCAN,BCAN,BCAN,BCAN,BCAN,BCAN,BCAN,EDA2R,BCAN
LTBP2,EDA2R,EDA2R,LTBP2,LTBP2,LTBP2,LTBP2,LTBP2,BCAN,LTBP2
NPTXR,LTBP2,NPTXR,EDA2R,EDA2R,NPTXR,NPTXR,NPTXR,LTBP2,NPTXR
EDA2R,NPTXR,LTBP2,NPTXR,NPTXR,EDA2R,EDA2R,EDA2R,NPTXR,EDA2R
NTproBNP,NTproBNP,NTproBNP,HPGDS,EGFR,EGFR,HPGDS,EGFR,EGFR,EGFR
HPGDS,EGFR,HPGDS,EGFR,,HPGDS,EGFR,HPGDS,HPGDS,HPGDS
,HPGDS,CDON,KLK4,,CD276,NTproBNP,CEACAM5,,CST5
,CST5,CST5,CST5,,KLK4,CEACAM5,CST5,,
,,CEACAM5,,,CST5,CST5,,,
,,EGFR,,,,,,,
,,CALB1,,,,,,,
