Pro_code,AUC_mean,AUC_std,p_delong,inner_cv_AUC_0,inner_cv_AUC_1,inner_cv_AUC_2,inner_cv_AUC_3,inner_cv_AUC_4,inner_cv_AUC_5,inner_cv_AUC_6,inner_cv_AUC_7,inner_cv_AUC_8,inner_cv_AUC_9,Pro_definition
NEFL,0.749,0.024,6.145412786027274e-270,0.753,0.787,0.736,0.74,0.705,0.783,0.743,0.764,0.754,0.723,Neurofilament light polypeptide
GFAP,0.784,0.026,6.835686616143408e-17,0.799,0.816,0.746,0.784,0.738,0.814,0.757,0.789,0.806,0.789,Glial fibrillary acidic protein
GDF15,0.804,0.017,2.2132829011430707e-07,0.794,0.831,0.783,0.813,0.786,0.81,0.779,0.803,0.827,0.812,Growth/differentiation factor 15
BCAN,0.826,0.018,2.6243412148251906e-12,0.814,0.85,0.806,0.835,0.812,0.836,0.794,0.833,0.855,0.823,Brevican core protein
EDA2R,0.827,0.019,0.3775008851266151,0.821,0.854,0.808,0.837,0.815,0.843,0.789,0.833,0.85,0.819,Tumor necrosis factor receptor superfamily member 27
NPTXR,0.831,0.019,0.0068537510075013675,0.821,0.853,0.813,0.839,0.821,0.849,0.793,0.835,0.857,0.826,Neuronal pentraxin receptor
LTBP2,0.833,0.019,0.2052044704921302,0.82,0.857,0.816,0.837,0.825,0.849,0.8,0.835,0.863,0.823,Latent-transforming growth factor beta-binding protein 2
NTproBNP,0.835,0.018,0.009561028922836303,0.824,0.857,0.818,0.837,0.827,0.85,0.804,0.842,0.867,0.827,N-terminal prohormone of brain natriuretic peptide
HPGDS,0.84,0.016,2.330058006162396e-05,0.83,0.858,0.827,0.842,0.833,0.855,0.809,0.849,0.867,0.834,Hematopoietic prostaglandin D synthase
CDON,0.841,0.017,0.45165886874553746,0.833,0.856,0.826,0.843,0.833,0.853,0.809,0.847,0.873,0.839,Cell adhesion molecule-related/down-regulated by oncogenes
CST5,0.843,0.015,0.09866567899831578,0.834,0.853,0.834,0.847,0.833,0.851,0.814,0.849,0.871,0.842,Cystatin-D
CEACAM5,0.845,0.015,0.005167686776199905,0.83,0.858,0.841,0.848,0.839,0.852,0.816,0.854,0.871,0.84,Carcinoembryonic antigen-related cell adhesion molecule 5
EGFR,0.844,0.015,0.5472082976931582,0.83,0.861,0.839,0.845,0.833,0.853,0.818,0.855,0.873,0.838,Epidermal growth factor receptor
CALB1,0.847,0.015,0.019121526684232653,0.832,0.861,0.838,0.847,0.835,0.856,0.822,0.858,0.874,0.843,Calbindin
ACTA2,0.846,0.014,0.9562568041596756,0.832,0.863,0.841,0.849,0.836,0.856,0.819,0.856,0.867,0.844,"Actin, aortic smooth muscle"
CD276,0.846,0.015,0.48894499990762874,0.829,0.863,0.841,0.846,0.834,0.856,0.82,0.858,0.868,0.843,CD276 antigen
PSG1,0.846,0.015,0.32775093298297847,0.831,0.862,0.842,0.847,0.838,0.857,0.816,0.859,0.869,0.844,Pregnancy-specific beta-1-glycoprotein 1
KLK4,0.846,0.015,0.33305864693992243,0.833,0.864,0.842,0.846,0.836,0.857,0.816,0.856,0.867,0.843,Kallikrein-4
EPHA2,0.847,0.014,0.04065619931368639,0.832,0.862,0.843,0.849,0.838,0.857,0.819,0.857,0.869,0.846,Ephrin type-A receptor 2
PI3,0.848,0.014,0.5296721856532646,0.835,0.864,0.846,0.848,0.837,0.857,0.818,0.859,0.869,0.845,Elafin
EBI3_IL27,0.847,0.015,0.21383804412345253,0.835,0.865,0.842,0.849,0.836,0.856,0.816,0.857,0.867,0.846,Interleukin-27
CD59,0.847,0.015,0.40716101936424726,0.834,0.862,0.843,0.851,0.837,0.855,0.816,0.857,0.87,0.848,CD59 glycoprotein
OMG,0.847,0.015,0.24432709956372972,0.833,0.865,0.841,0.846,0.837,0.856,0.815,0.858,0.869,0.846,Oligodendrocyte-myelin glycoprotein
AREG,0.847,0.015,0.24502708594320047,0.836,0.863,0.842,0.849,0.838,0.857,0.815,0.859,0.869,0.846,Amphiregulin
ADGRG2,0.847,0.015,0.9516305657224705,0.833,0.864,0.842,0.847,0.838,0.857,0.816,0.858,0.87,0.848,Adhesion G-protein coupled receptor G2
ADAMTS8,0.847,0.015,0.9720385543715864,0.835,0.864,0.839,0.848,0.839,0.856,0.817,0.857,0.869,0.848,A disintegrin and metalloproteinase with thrombospondin motifs 8
WNT9A,0.847,0.015,0.959957202494345,0.836,0.864,0.841,0.849,0.838,0.855,0.817,0.859,0.869,0.845,Protein Wnt-9a
DPP4,0.848,0.015,0.2193608667648612,0.836,0.862,0.841,0.85,0.837,0.857,0.816,0.858,0.873,0.849,Dipeptidyl peptidase 4
IGFBP4,0.847,0.015,0.07222067557602714,0.838,0.864,0.84,0.848,0.837,0.857,0.814,0.858,0.868,0.845,Insulin-like growth factor-binding protein 4
IGFBP2,0.847,0.015,0.874170097069996,0.835,0.864,0.84,0.848,0.837,0.855,0.815,0.858,0.87,0.848,Insulin-like growth factor-binding protein 2
