Pro_code,Pro_definition,HR,HR_Lower_CI,HR_Upper_CI,HR_p_val,p_val_fdr,p_val_bfi
AARSD1,Alanyl-tRNA editing protein Aarsd1,0.9788056019264192,0.9256588254770786,1.0350038048508439,0.4520011010875532,0.5951571261171102,1.0
ABHD14B,Protein ABHD14B,0.947649252050413,0.895626757378474,1.0026934741658389,0.0619590045498649,0.14691413882731336,1.0
ABL1,Tyrosine-protein kinase ABL1,0.9700788710614162,0.9169719380132654,1.0262615212835204,0.29026884889610705,0.4364694979615185,1.0
ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",0.973421629140137,0.9193653485131229,1.0306562778445996,0.35543279235044134,0.5033864232417189,1.0
ACAN,Aggrecan core protein,0.9822026351449468,0.9256772114758971,1.0421797193727254,0.552639214910237,0.684598790358744,1.0
ACE2,Angiotensin-converting enzyme 2,1.1546780738063656,1.087937534568882,1.22551287345511,2.1953794446496914e-06,2.94664231882798e-05,0.0032118401275224983
ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,0.9839191840833583,0.931183687664535,1.0396412368813155,0.5640784129455009,0.6958235397464315,1.0
ACP5,Tartrate-resistant acid phosphatase type 5,1.0608464442083863,0.9999697562293285,1.1254292154126748,0.050117361930206834,0.12598230327129312,1.0
ACP6,Lysophosphatidic acid phosphatase type 6,1.0076391412115102,0.9544796016209114,1.0637593901191917,0.7831633552643682,0.8537764446734506,1.0
ACTA2,"Actin, aortic smooth muscle",1.2057379224878988,1.1328458018419258,1.283320232428503,4.0935892524834715e-09,1.3927723433449578e-07,5.988921076383319e-06
ACTN4,Alpha-actinin-4,1.033295618281193,0.9771680205431351,1.0926471316219066,0.25038106603859217,0.39816032566789167,1.0
ACVRL1,Serine/threonine-protein kinase receptor R3,1.179931941699791,1.1136300694063042,1.2501812094438747,2.0531586246514006e-08,5.776482822817306e-07,3.003771067864999e-05
ACY1,Aminoacylase-1,0.9334129989071006,0.8783719504119869,0.9919030612488204,0.026273989747587254,0.079477332690792,1.0
ADA,Adenosine deaminase,0.9880050114853888,0.9343009026784291,1.0447960607999318,0.672155015873096,0.7761347973341275,1.0
ADA2,Adenosine deaminase 2,1.1548393898807012,1.091471856797855,1.221885849015554,5.739307955567797e-07,9.43439049325358e-06,0.0008396607538995686
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,1.1005709727291015,1.0408192685408186,1.1637529229373387,0.0007662266665093128,0.00437886567618408,1.0
ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,0.9916093183113315,0.9384584927375904,1.047770410488265,0.7643482180443861,0.8395206028520547,1.0
ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,0.9984170538970512,0.9446727892413194,1.0552189338628473,0.9552502783056676,0.969161690125653,1.0
ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,1.1199131410509737,1.0593632510348452,1.1839238733960993,6.511995092491705e-05,0.0005382513457805291,0.09527048820315365
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,1.0207149542850018,0.9661993456455797,1.0783064826077902,0.4640858494355673,0.6035587968812633,1.0
ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,1.036383855661559,0.9791726104854347,1.096937848111813,0.21738808760211423,0.3605881770543006,1.0
ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,1.0463557494571365,0.9844411872641358,1.112164310663125,0.14537170375795536,0.2697340249653441,1.0
ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,0.8718655577855488,0.8245385776514144,0.9219090185178338,1.469502928443038e-06,2.141846377239325e-05,0.0021498827843121644
ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,0.9565764894216853,0.9046296640055507,1.0115062732551525,0.11914591037100242,0.23397378103728395,1.0
ADGRB3,Adhesion G protein-coupled receptor B3,1.0700907788983975,1.0121015043900619,1.131402601533988,0.017166455607944404,0.058270358594948175,1.0
